epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,16535.2,1.1982,0.76756,0.87839,0.49526,0.39474,0.39818,0.23693,1.22596,0.8654,0.88634,0.003763,0.003763,0.003763
65,16661.9,1.18889,0.76327,0.87805,0.50253,0.39002,0.39628,0.23659,1.2238,0.86647,0.88636,0.003664,0.003664,0.003664
66,17040,1.19062,0.76147,0.87778,0.50187,0.39285,0.39962,0.23841,1.2199,0.86246,0.88574,0.003565,0.003565,0.003565
67,17180.1,1.18779,0.7577,0.87844,0.49804,0.39223,0.39707,0.23689,1.21509,0.86538,0.88446,0.003466,0.003466,0.003466
68,17919,1.18236,0.75216,0.87691,0.50306,0.39363,0.40007,0.23745,1.2197,0.86159,0.88479,0.003367,0.003367,0.003367
69,18041.1,1.18155,0.74955,0.87573,0.49965,0.3956,0.39977,0.23896,1.21751,0.85613,0.88508,0.003268,0.003268,0.003268
70,18164,1.17297,0.74336,0.87461,0.50318,0.39074,0.39789,0.23724,1.22031,0.86333,0.88536,0.003169,0.003169,0.003169
71,18953.9,1.17617,0.74402,0.87419,0.51142,0.39306,0.39987,0.23818,1.21894,0.85934,0.88512,0.00307,0.00307,0.00307
72,19079.2,1.16718,0.73756,0.8754,0.51052,0.39229,0.39961,0.23904,1.21876,0.85937,0.8854,0.002971,0.002971,0.002971
73,19661,1.16808,0.73638,0.87375,0.50429,0.39412,0.39972,0.23839,1.222,0.86207,0.88599,0.002872,0.002872,0.002872
74,19788.1,1.17312,0.73676,0.87422,0.50672,0.39338,0.39808,0.2373,1.22304,0.86134,0.8861,0.002773,0.002773,0.002773
75,19915.8,1.16277,0.73023,0.87163,0.49824,0.3942,0.39612,0.23585,1.22227,0.86429,0.88564,0.002674,0.002674,0.002674
76,20042.1,1.16536,0.72954,0.87229,0.50197,0.3924,0.39702,0.23623,1.21783,0.8622,0.88494,0.002575,0.002575,0.002575
77,20164.2,1.15734,0.72214,0.87194,0.4913,0.39884,0.39799,0.23803,1.21962,0.86298,0.88597,0.002476,0.002476,0.002476
78,20298.3,1.15864,0.72628,0.87194,0.49633,0.39825,0.39965,0.23802,1.21906,0.86141,0.88501,0.002377,0.002377,0.002377
79,20419.7,1.15678,0.71668,0.87238,0.48841,0.3985,0.39893,0.23777,1.21787,0.85899,0.88497,0.002278,0.002278,0.002278
80,20545.2,1.15034,0.71354,0.87011,0.49838,0.39499,0.399,0.23791,1.21793,0.86164,0.88499,0.002179,0.002179,0.002179
81,20667.2,1.15447,0.71646,0.87159,0.50155,0.39578,0.39967,0.2384,1.21966,0.86255,0.8852,0.00208,0.00208,0.00208
82,20791.8,1.14632,0.71124,0.86853,0.50392,0.39459,0.40091,0.23946,1.21971,0.85984,0.88533,0.001981,0.001981,0.001981
83,21253.8,1.14848,0.7081,0.869,0.49874,0.39749,0.402,0.24067,1.21869,0.85851,0.88554,0.001882,0.001882,0.001882
84,21384.3,1.14427,0.70902,0.86913,0.50097,0.40085,0.40183,0.23995,1.21867,0.86123,0.88551,0.001783,0.001783,0.001783
85,21716.6,1.14456,0.70339,0.86836,0.50352,0.39564,0.4006,0.24011,1.21964,0.86242,0.88522,0.001684,0.001684,0.001684
86,21839.3,1.13772,0.69952,0.86925,0.50313,0.40021,0.40108,0.24022,1.221,0.86377,0.88551,0.001585,0.001585,0.001585
87,21960.9,1.13534,0.6987,0.8685,0.50263,0.39997,0.40122,0.2403,1.22163,0.86363,0.8863,0.001486,0.001486,0.001486
88,22085.3,1.13207,0.69414,0.86716,0.50472,0.39706,0.40043,0.24065,1.22092,0.86105,0.88613,0.001387,0.001387,0.001387
89,22346.3,1.14226,0.69857,0.86814,0.50583,0.39269,0.39935,0.23934,1.21925,0.86137,0.88545,0.001288,0.001288,0.001288
90,22467.7,1.13195,0.69133,0.86696,0.50065,0.39546,0.39901,0.23888,1.21915,0.86107,0.88543,0.001189,0.001189,0.001189
91,23254.8,1.11626,0.67463,0.86631,0.50423,0.39591,0.39891,0.23883,1.22241,0.8648,0.88602,0.00109,0.00109,0.00109
92,23377.6,1.10665,0.66165,0.86502,0.49483,0.39789,0.39798,0.23827,1.22455,0.86565,0.88636,0.000991,0.000991,0.000991
93,24137,1.10377,0.65785,0.86447,0.50175,0.3949,0.39757,0.2382,1.22545,0.86659,0.8866,0.000892,0.000892,0.000892
94,24256.5,1.10039,0.65324,0.86444,0.50409,0.39282,0.39839,0.23883,1.22533,0.86674,0.88665,0.000793,0.000793,0.000793
95,24532.2,1.0957,0.64952,0.86189,0.51019,0.39026,0.39833,0.23806,1.22553,0.86634,0.88658,0.000694,0.000694,0.000694
96,24649.4,1.09177,0.64491,0.86173,0.50177,0.39617,0.3979,0.23828,1.22536,0.86627,0.88656,0.000595,0.000595,0.000595
97,24776.7,1.08911,0.64231,0.86123,0.49764,0.39728,0.3983,0.2378,1.22536,0.86704,0.88666,0.000496,0.000496,0.000496
98,24894.6,1.08475,0.63623,0.86056,0.50244,0.39564,0.39815,0.23784,1.22583,0.86835,0.88675,0.000397,0.000397,0.000397
99,25284.1,1.08095,0.63538,0.85934,0.50078,0.39586,0.39765,0.2378,1.22637,0.86934,0.88676,0.000298,0.000298,0.000298
100,25402.5,1.08316,0.63268,0.85962,0.49829,0.39772,0.39756,0.23765,1.22619,0.87016,0.88665,0.000199,0.000199,0.000199
