epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,9132.91,1.32772,0.9152,0.90355,0.45321,0.33567,0.33746,0.19605,1.32759,0.95682,0.9039,0.001288,0.001288,0.001288
90,9218.14,1.31734,0.90871,0.90268,0.44366,0.34064,0.33574,0.19557,1.32816,0.95757,0.90421,0.001189,0.001189,0.001189
91,9346.17,1.29562,0.89171,0.9025,0.44964,0.33343,0.33277,0.19415,1.3332,0.96285,0.90549,0.00109,0.00109,0.00109
92,9424.9,1.28059,0.87288,0.89993,0.44764,0.32933,0.33175,0.1936,1.336,0.96546,0.90556,0.000991,0.000991,0.000991
93,9504.59,1.27884,0.87057,0.89989,0.44937,0.32766,0.33213,0.19398,1.33443,0.96365,0.90534,0.000892,0.000892,0.000892
94,9583.91,1.27691,0.86604,0.90038,0.44504,0.32753,0.33179,0.19391,1.33327,0.96372,0.90507,0.000793,0.000793,0.000793
95,9663.34,1.27292,0.86154,0.8971,0.43917,0.33445,0.33369,0.19445,1.33449,0.96293,0.90527,0.000694,0.000694,0.000694
96,9742.25,1.26938,0.85785,0.89711,0.43856,0.33683,0.33424,0.19492,1.33428,0.96255,0.90536,0.000595,0.000595,0.000595
97,10221.2,1.26651,0.85412,0.89655,0.446,0.33442,0.33417,0.19473,1.33388,0.96285,0.90501,0.000496,0.000496,0.000496
98,10300.5,1.26277,0.85053,0.8961,0.44438,0.33407,0.33381,0.19463,1.33319,0.96219,0.90483,0.000397,0.000397,0.000397
99,10412.4,1.26025,0.8492,0.89526,0.45212,0.33252,0.33454,0.19482,1.33274,0.96124,0.90486,0.000298,0.000298,0.000298
100,10491,1.26038,0.84546,0.89449,0.44924,0.33283,0.33423,0.19463,1.33227,0.96118,0.90475,0.000199,0.000199,0.000199
