epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,27904.8,1.5201,1.18585,1.18229,0.45761,0.35355,0.36143,0.2099,1.46821,1.14708,1.16455,0.00406,0.00406,0.00406
62,28506.4,1.52253,1.18554,1.18188,0.45426,0.35485,0.3607,0.20914,1.46958,1.14473,1.16533,0.003961,0.003961,0.003961
63,28744.2,1.51985,1.17996,1.17915,0.45962,0.35579,0.36009,0.20924,1.46591,1.14234,1.16285,0.003862,0.003862,0.003862
64,28981.7,1.51813,1.18195,1.18164,0.4623,0.35676,0.36071,0.20903,1.46724,1.14249,1.16381,0.003763,0.003763,0.003763
65,29211.8,1.51777,1.17566,1.17695,0.46489,0.35899,0.36472,0.21155,1.46525,1.1395,1.16129,0.003664,0.003664,0.003664
66,29435.7,1.51078,1.16894,1.17649,0.46571,0.3581,0.36291,0.2104,1.46629,1.13898,1.16219,0.003565,0.003565,0.003565
67,29681.6,1.51705,1.17745,1.17756,0.46068,0.36074,0.36439,0.21166,1.46114,1.13681,1.15997,0.003466,0.003466,0.003466
68,29949.1,1.51049,1.17259,1.17443,0.45884,0.3566,0.36283,0.21095,1.46462,1.13844,1.16095,0.003367,0.003367,0.003367
69,30166.2,1.5042,1.1689,1.17182,0.45217,0.3661,0.36472,0.2127,1.46004,1.13199,1.15866,0.003268,0.003268,0.003268
70,30375.4,1.51029,1.16667,1.17486,0.46203,0.36333,0.36431,0.21116,1.4621,1.13414,1.15903,0.003169,0.003169,0.003169
71,30606,1.5018,1.15617,1.17358,0.46279,0.3647,0.36941,0.21458,1.45757,1.13084,1.1573,0.00307,0.00307,0.00307
72,30828.6,1.50659,1.1641,1.16902,0.46655,0.36532,0.36742,0.21366,1.45832,1.13175,1.15776,0.002971,0.002971,0.002971
73,31046.6,1.49519,1.15353,1.16845,0.46841,0.36183,0.36642,0.21309,1.45868,1.12843,1.15814,0.002872,0.002872,0.002872
74,32620.7,1.49965,1.15373,1.16912,0.4631,0.36371,0.36887,0.2141,1.45747,1.12777,1.15724,0.002773,0.002773,0.002773
75,32841.2,1.50584,1.16262,1.16929,0.45985,0.36378,0.36939,0.21469,1.45694,1.12642,1.15621,0.002674,0.002674,0.002674
76,33092.6,1.49637,1.14594,1.16371,0.46602,0.36308,0.36713,0.21361,1.45456,1.12658,1.15538,0.002575,0.002575,0.002575
77,34004.3,1.49725,1.14616,1.16558,0.47368,0.3653,0.36836,0.21397,1.45598,1.12682,1.15584,0.002476,0.002476,0.002476
78,34236.7,1.49306,1.1473,1.16598,0.47745,0.3639,0.37044,0.2151,1.45558,1.12496,1.15525,0.002377,0.002377,0.002377
79,34574.1,1.49638,1.14817,1.16517,0.47199,0.3687,0.37301,0.21666,1.4559,1.1234,1.15482,0.002278,0.002278,0.002278
80,34788,1.49667,1.14801,1.16413,0.46868,0.36885,0.37098,0.21581,1.45691,1.12448,1.155,0.002179,0.002179,0.002179
81,35024.6,1.4839,1.13661,1.1632,0.46122,0.37177,0.37217,0.21631,1.45403,1.12296,1.15399,0.00208,0.00208,0.00208
82,35269.4,1.4871,1.13894,1.15954,0.4705,0.3683,0.37214,0.21629,1.45308,1.12111,1.15343,0.001981,0.001981,0.001981
83,36167,1.48776,1.13944,1.15976,0.46356,0.37082,0.3719,0.21602,1.45308,1.11993,1.15349,0.001882,0.001882,0.001882
84,36410.9,1.48394,1.13379,1.15993,0.45592,0.37312,0.37313,0.21727,1.45041,1.11893,1.15239,0.001783,0.001783,0.001783
85,36632.7,1.48379,1.13399,1.15829,0.45612,0.37495,0.37227,0.21703,1.45169,1.11988,1.15301,0.001684,0.001684,0.001684
86,37471.6,1.48579,1.13314,1.16057,0.46035,0.37497,0.37259,0.21698,1.45283,1.11821,1.15287,0.001585,0.001585,0.001585
87,37695,1.48454,1.13097,1.15894,0.46481,0.37184,0.37319,0.21736,1.45291,1.11804,1.15265,0.001486,0.001486,0.001486
88,37948.9,1.47758,1.12345,1.15704,0.46691,0.37482,0.37453,0.21803,1.45132,1.11565,1.15202,0.001387,0.001387,0.001387
89,38221.8,1.47971,1.12655,1.1573,0.46529,0.37435,0.37483,0.21833,1.45008,1.11604,1.15161,0.001288,0.001288,0.001288
90,38472,1.47293,1.12462,1.15643,0.46723,0.37486,0.37522,0.21816,1.45047,1.11538,1.15166,0.001189,0.001189,0.001189
91,38707,1.45423,1.09989,1.17252,0.46604,0.36886,0.37383,0.21702,1.45477,1.11813,1.15291,0.00109,0.00109,0.00109
92,38894.1,1.44405,1.08767,1.17019,0.46694,0.36906,0.37271,0.21603,1.45571,1.11905,1.15286,0.000991,0.000991,0.000991
93,39096.1,1.43982,1.08668,1.1684,0.46362,0.37071,0.37213,0.21646,1.45625,1.11994,1.15326,0.000892,0.000892,0.000892
94,39295.6,1.43563,1.0761,1.16684,0.46427,0.36954,0.37238,0.21621,1.45644,1.11973,1.15285,0.000793,0.000793,0.000793
95,39504.1,1.43394,1.07344,1.16359,0.46171,0.371,0.37194,0.21588,1.45614,1.11929,1.15276,0.000694,0.000694,0.000694
96,40253,1.43197,1.07379,1.16162,0.462,0.37,0.37161,0.21601,1.45577,1.11861,1.15237,0.000595,0.000595,0.000595
97,40447,1.42983,1.07069,1.16003,0.46088,0.37088,0.37122,0.21603,1.4552,1.11833,1.15171,0.000496,0.000496,0.000496
98,40633.5,1.4317,1.06698,1.15948,0.45808,0.37284,0.37166,0.21608,1.45503,1.11833,1.15169,0.000397,0.000397,0.000397
99,40824.6,1.42662,1.066,1.15868,0.46291,0.37001,0.37265,0.21654,1.45453,1.11767,1.15181,0.000298,0.000298,0.000298
100,41019.3,1.42628,1.06339,1.15831,0.46383,0.36872,0.37279,0.21675,1.45486,1.11775,1.15196,0.000199,0.000199,0.000199
